Species,K,AspectRatio,Loo,Winfinity
Anchoa mitchilli,0.5,3.3922901153564453,9.94,10.13782
Anguilla rostrata,0.07000000029802322,1.32,96.72,1064.976745
Bairdiella chrysoura,0.5299999713897705,1.561650037765503,16.3,94
Centropristis striata,0.36000001430511475,1.0318845212459564,30.728571428571428,372.42498749999993
Cynoscion regalis,0.28999999165534973,1.4529000520706177,68.425,3536.25
Cyprinodon variegatus,0.75,1.4086500406265259,9.6,45.5
Etropus microstomus,1.3700000047683716,0.9732980132102966,13.8,26.3
Fundulus heteroclitus,0.75,0.8974760174751282,10.5,16.9
Fundulus majalis,0.5699999928474426,0.8069019913673401,19,68.6
Gobiesox strumosus,0.30000001192092896,0.7800049781799316,8.6,8.8
Gobiosoma bosc,1.1699999570846558,1.32,6.5,2.7
Hypsoblennius hentz,0.6800000071525574,1.168220043182373,10.7,12.3
Leiostomus xanthurus,0.5600000023841858,1.541159987449646,27.333333333333332,258.27465333333333
Lutjanus griseus,0.17000000178813934,1.777169942855835,61.39090909090909,3363.99475125
Menidia menidia,1.159999966621399,1.1069400310516357,12.975,16.725
Micropogonias undulatus,0.28999999165534973,1.2581499814987183,41.5,494.47681
Mugil curema,0.14000000059604645,1.9096100330352783,38.025,870.3234666666667
Opsanus tau,0.1599999964237213,1.32,35,518.1356033333334
Orthopristis chrysoptera,0.28999999165534973,1.8251899480819702,30.7,563.94
Paralichthys dentatus,0.2199999988079071,1.3959399461746216,121.63333333333334,46450.21809666667
Pogonias cromis,0.15000000596046448,1.2473100423812866,111.03333333333333,16792.2
Pomatomus saltatrix,0.18000000715255737,2.390475034713745,92.85352941176471,13096.575614285714
Symphurus plagiusa,0.3799999952316284,1.32,19.973333333333333,61.995279999999994
Syngnathus fuscus,0.47999998927116394,1.32,34.5,410.6
Tautoga onitis,0.11999999731779099,1.6935100555419922,66.82000000000001,4802.4246825
Tautogolabrus adspersus,0.20000000298023224,0.9851670265197754,29.85,393.69032749999997
