"","IndivID","Species","CommonName","FL_cm","TL_cm","Weight_g","Sex","Date","FishingType","d13C","d15N","d34S","d34S_SD","WT.S","WT.S_SD","CN","Notes","Week","Rack"
"670","AS1-12-1-S","Anchoa spp.","Anchovy","3.6",3.9,0.31,NA,"10/4/23","Seine",-17.83,15.34,NA,NA,NA,NA,3.5,NA,"12","1"
"671","AS1-12-2-S","Anchoa spp.","Anchovy","7.5",8.5,4.34,NA,"10/4/23","Seine",-18.18,14.19,NA,NA,NA,NA,3.2,NA,"12","2"
"672","AS1-12-3-S","Anchoa spp.","Anchovy","5.1",5.5,0.93,NA,"10/4/23","Seine",-17.9,15.5,NA,NA,NA,NA,3.3,NA,"12","3"
"673","AS1-12-4-S","Anchoa spp.","Anchovy","3.9",4.4,0.46,NA,"10/4/23","Seine",-17.59,15.85,NA,NA,NA,NA,3.4,NA,"12","4"
"674","AS1-2-1-S","Anchoa spp.","Anchovy","5.5",5.9,1.61,NA,"7/26/23","Seine",-17.63,15.76,NA,NA,NA,NA,3.3,NA,"2","1"
"675","AS1-2-2-S","Anchoa spp.","Anchovy","1.9",2.1,0.08,NA,"7/26/23","Seine",-17.99,15.03,NA,NA,NA,NA,3.3,NA,"2","2"
"676","AS1-5-1-S","Anchoa spp.","Anchovy","4.1",4.3,0.52,NA,"8/17/23","Seine",-17.54,15.53,NA,NA,NA,NA,3.28795674,NA,"5","1"
"677","AS10-12-1-S","Anchoa spp.","Anchovy","4.3",4.7,0.63,NA,"10/4/23","Seine",-17.29,15.56,NA,NA,NA,NA,3.4,NA,"12","1"
"678","AS10-12-4-S","Anchoa spp.","Anchovy",NA,2.5,0.06,NA,"10/4/23","Seine",-17.24,14.04,NA,NA,NA,NA,3.4,NA,"12","4"
"679","AS10-2-2-S","Anchoa spp.","Anchovy","2.4",2.6,0.06,NA,"7/26/23","Seine",-18,14.94,NA,NA,NA,NA,3.4,NA,"2","2"
"680","AS10-5-1-S","Anchoa spp.","Anchovy","2.7",3,0.13,NA,"8/17/23","Seine",-18.42,14.79,NA,NA,NA,NA,3.23895224,NA,"5","1"
"681","AS2-12-1-S","Anchoa spp.","Anchovy","3.7",4,0.29,NA,"10/4/23","Seine",-17.61,15.9,NA,NA,NA,NA,3.3,NA,"12","1"
"682","AS2-12-2-S","Anchoa spp.","Anchovy","7.1",7.6,2.48,NA,"10/4/23","Seine",-18.29,13.6,NA,NA,NA,NA,3.1,NA,"12","2"
"683","AS2-12-3-S","Anchoa spp.","Anchovy","5.3",6,1.27,NA,"10/4/23","Seine",-19.05,14.36,NA,NA,NA,NA,3.3,NA,"12","3"
"684","AS2-12-4-S","Anchoa spp.","Anchovy","3",3.3,0.19,NA,"10/4/23","Seine",-17.25,16.01,NA,NA,NA,NA,3.4,NA,"12","4"
"685","AS2-2-1-S","Anchoa spp.","Anchovy","6.8",7.4,2.94,NA,"7/26/23","Seine",-19.39,14.2,NA,NA,NA,NA,3.3,NA,"2","1"
"686","AS2-2-2-S","Anchoa spp.","Anchovy","1.9",2.1,0.07,NA,"7/26/23","Seine",-18.42,14.79,NA,NA,NA,NA,3.3,NA,"2","2"
"687","AS2-5-1-S","Anchoa spp.","Anchovy","3.2",3.4,0.2,NA,"8/17/23","Seine",-17.81,14.94,NA,NA,NA,NA,3.2370279,NA,"5","1"
"688","AS3-12-1-S","Anchoa spp.","Anchovy","3.3",3.7,0.24,NA,"10/4/23","Seine",-16.32,16.39,NA,NA,NA,NA,3.4,NA,"12","1"
"689","AS3-12-3-S","Anchoa spp.","Anchovy","4.7",5.2,0.82,NA,"10/4/23","Seine",-17.26,15.83,NA,NA,NA,NA,3.3,NA,"12","3"
"690","AS3-12-4-S","Anchoa spp.","Anchovy","3.1",3.2,0.18,NA,"10/4/23","Seine",-16.63,14.82,NA,NA,NA,NA,3.3,NA,"12","4"
"691","AS3-2-1-S","Anchoa spp.","Anchovy","7.4",8,4.08,NA,"7/26/23","Seine",-19.22,14.01,NA,NA,NA,NA,3.3,NA,"2","1"
"692","AS3-2-2-S","Anchoa spp.","Anchovy","2.1",2.3,0.09,NA,"7/26/23","Seine",-18.09,14.35,NA,NA,NA,NA,3.4,NA,"2","2"
"693","AS3-5-1-S","Anchoa spp.","Anchovy","2.8",3,0.13,NA,"8/17/23","Seine",-18.34,14.67,NA,NA,NA,NA,3.2518896,NA,"5","1"
"694","AS4-12-1-S","Anchoa spp.","Anchovy","3.8",4.2,0.41,NA,"10/4/23","Seine",-17.24,15.81,NA,NA,NA,NA,3.4,NA,"12","1"
"695","AS4-12-4-S","Anchoa spp.","Anchovy","3",3.3,0.16,NA,"10/4/23","Seine",-16.77,15.05,NA,NA,NA,NA,3.5,NA,"12","4"
"696","AS4-2-1-S","Anchoa spp.","Anchovy","7",7.6,3.33,NA,"7/26/23","Seine",-18.99,13.7,NA,NA,NA,NA,3.3,NA,"2","1"
"697","AS4-2-2-S","Anchoa spp.","Anchovy","2.6",2.8,0.09,NA,"7/26/23","Seine",-18.04,14.82,NA,NA,NA,NA,3.4,NA,"2","2"
"698","AS4-5-1-S","Anchoa spp.","Anchovy","3.5",3.8,0.29,NA,"8/17/23","Seine",-18.15,15.21,NA,NA,NA,NA,3.29492441,NA,"5","1"
"699","AS5-12-1-S","Anchoa spp.","Anchovy","3.3",3.6,0.28,NA,"10/4/23","Seine",-17.58,15.65,NA,NA,NA,NA,3.3,NA,"12","1"
"700","AS5-12-4-S","Anchoa spp.","Anchovy","3.2",3.5,0.21,NA,"10/4/23","Seine",-17.57,15.71,NA,NA,NA,NA,3.4,NA,"12","4"
"701","AS5-2-2-S","Anchoa spp.","Anchovy","2.1",2.4,0.06,NA,"7/26/23","Seine",-19.57,14.31,NA,NA,NA,NA,3.3,NA,"2","2"
"702","AS5-5-1-S","Anchoa spp.","Anchovy","3.1",3.2,0.18,NA,"8/17/23","Seine",-17.8,15.03,NA,NA,NA,NA,3.23505381,NA,"5","1"
"703","AS6-12-1-S","Anchoa spp.","Anchovy","3.9",4.3,0.44,NA,"10/4/23","Seine",-22.17,15.34,NA,NA,NA,NA,3.4,NA,"12","1"
"704","AS6-12-4-S","Anchoa spp.","Anchovy","2.8",3,0.16,NA,"10/4/23","Seine",-16.13,15.93,NA,NA,NA,NA,3.4,NA,"12","4"
"705","AS6-2-2-S","Anchoa spp.","Anchovy","2.4",2.7,0.07,NA,"7/26/23","Seine",-18.33,14.74,NA,NA,NA,NA,3.3,NA,"2","2"
"706","AS6-5-1-S","Anchoa spp.","Anchovy","2.8",3,0.11,NA,"8/17/23","Seine",-19.82,13.4,NA,NA,NA,NA,3.37815361,NA,"5","1"
"707","AS7-12-1-S","Anchoa spp.","Anchovy","3",3.2,0.21,NA,"10/4/23","Seine",-17.34,15.81,NA,NA,NA,NA,3.5,NA,"12","1"
"708","AS7-12-4-S","Anchoa spp.","Anchovy",NA,3.1,0.22,NA,"10/4/23","Seine",-17.07,15,NA,NA,NA,NA,3.4,NA,"12","4"
"709","AS7-2-2-S","Anchoa spp.","Anchovy","2.4",2.6,0.08,NA,"7/26/23","Seine",-18.62,14.63,NA,NA,NA,NA,3.4,NA,"2","2"
"710","AS7-5-1-S","Anchoa spp.","Anchovy","2.9",3.1,0.13,NA,"8/17/23","Seine",-19.17,13.51,NA,NA,NA,NA,3.38919844,NA,"5","1"
"711","AS8-12-1-S","Anchoa spp.","Anchovy","3.7",4,0.29,NA,"10/4/23","Seine",-16.47,15.99,NA,NA,NA,NA,3.4,NA,"12","1"
"712","AS8-12-4-S","Anchoa spp.","Anchovy",NA,2.9,0.19,NA,"10/4/23","Seine",-16.53,16.09,NA,NA,NA,NA,3.5,NA,"12","4"
"713","AS8-2-2-S","Anchoa spp.","Anchovy","2.3",2.5,0.04,NA,"7/26/23","Seine",-18.35,14.76,NA,NA,NA,NA,3.4,NA,"2","2"
"714","AS8-5-1-S","Anchoa spp.","Anchovy","2.8",3,0.11,NA,"8/17/23","Seine",-18.4,14.8,NA,NA,NA,NA,3.27142021,NA,"5","1"
"715","AS9-12-1-S","Anchoa spp.","Anchovy","4.1",4.4,0.47,NA,"10/4/23","Seine",-17.24,15.67,NA,NA,NA,NA,3.4,NA,"12","1"
"716","AS9-12-4-S","Anchoa spp.","Anchovy","3.2",3.4,0.18,NA,"10/4/23","Seine",-17.15,15.89,NA,NA,NA,NA,3.4,NA,"12","4"
"717","AS9-2-2-S","Anchoa spp.","Anchovy","2.5",2.7,0.08,NA,"7/26/23","Seine",-18.64,14.81,NA,NA,NA,NA,3.4,NA,"2","2"
"718","AS9-5-1-S","Anchoa spp.","Anchovy","2.9",3.1,0.17,NA,"8/17/23","Seine",-18.14,15.14,NA,NA,NA,NA,3.36682669,NA,"5","1"
"719","BC1-12-4-S","Bairdiella chrysoura","Silver Perch",NA,7.5,5.94,NA,"10/4/23","Seine",-15.61,13.48,NA,NA,NA,NA,3.3,NA,"12","4"
"720","BC1-2-1-S","Bairdiella chrysoura","Silver Perch",NA,2,0.07,NA,"7/26/23","Seine",-17.66,14.31,NA,NA,NA,NA,3.3,NA,"2","1"
"721","BC1-2-2-S","Bairdiella chrysoura","Silver Perch",NA,2.1,0.11,NA,"7/26/23","Seine",-17.73,14.5,NA,NA,NA,NA,3.3,NA,"2","2"
"722","BC1-5-3-S","Bairdiella chrysoura","Silver Perch",NA,5.4,1.57,NA,"8/17/23","Seine",-17.2,13.77,NA,NA,NA,NA,3.24871659,NA,"5","3"
