"","IndivID","Species","CommonName","FL_cm","TL_cm","Weight_g","Sex","Date","FishingType","d13C","d15N","d34S","d34S_SD","WT.S","WT.S_SD","CN","Notes","Week","Rack","FunctionalGroup","samples","spp_biomass","group_biomass","prop_in_group","TL_cm_mean","K","AspectRatio","Loo","Winfinity","PB","QB"
"1","AS1-12-1-S","Anchoa mitchilli","Anchovy",3.6,3.9,0.31,NA,"10/4/23","Seine",-17.83,15.34,NA,NA,NA,NA,3.5,NA,12,1,"PelagicFish",72,808,2827,0.285815351963212,4.14583333333333,0.5,3.39229011535645,9.94,10.13782,0.920927152317881,12.4326442146658
"2","AS1-12-2-S","Anchoa mitchilli","Anchovy",7.5,8.5,4.34,NA,"10/4/23","Seine",-18.18,14.19,NA,NA,NA,NA,3.2,NA,12,2,"PelagicFish",72,808,2827,0.285815351963212,4.14583333333333,0.5,3.39229011535645,9.94,10.13782,0.920927152317881,12.4326442146658
"3","AS1-12-3-S","Anchoa mitchilli","Anchovy",5.1,5.5,0.93,NA,"10/4/23","Seine",-17.9,15.5,NA,NA,NA,NA,3.3,NA,12,3,"PelagicFish",72,808,2827,0.285815351963212,4.14583333333333,0.5,3.39229011535645,9.94,10.13782,0.920927152317881,12.4326442146658
"4","AS1-12-4-S","Anchoa mitchilli","Anchovy",3.9,4.4,0.46,NA,"10/4/23","Seine",-17.59,15.85,NA,NA,NA,NA,3.4,NA,12,4,"PelagicFish",72,808,2827,0.285815351963212,4.14583333333333,0.5,3.39229011535645,9.94,10.13782,0.920927152317881,12.4326442146658
"5","AS1-2-1-S","Anchoa mitchilli","Anchovy",5.5,5.9,1.61,NA,"7/26/23","Seine",-17.63,15.76,NA,NA,NA,NA,3.3,NA,2,1,"PelagicFish",72,808,2827,0.285815351963212,4.14583333333333,0.5,3.39229011535645,9.94,10.13782,0.920927152317881,12.4326442146658
"6","AS1-2-2-S","Anchoa mitchilli","Anchovy",1.9,2.1,0.08,NA,"7/26/23","Seine",-17.99,15.03,NA,NA,NA,NA,3.3,NA,2,2,"PelagicFish",72,808,2827,0.285815351963212,4.14583333333333,0.5,3.39229011535645,9.94,10.13782,0.920927152317881,12.4326442146658
"7","AS1-5-1-S","Anchoa mitchilli","Anchovy",4.1,4.3,0.52,NA,"8/17/23","Seine",-17.54,15.53,NA,NA,NA,NA,3.28795674,NA,5,1,"PelagicFish",72,808,2827,0.285815351963212,4.14583333333333,0.5,3.39229011535645,9.94,10.13782,0.920927152317881,12.4326442146658
"8","AS10-12-1-S","Anchoa mitchilli","Anchovy",4.3,4.7,0.63,NA,"10/4/23","Seine",-17.29,15.56,NA,NA,NA,NA,3.4,NA,12,1,"PelagicFish",72,808,2827,0.285815351963212,4.14583333333333,0.5,3.39229011535645,9.94,10.13782,0.920927152317881,12.4326442146658
"9","AS10-12-4-S","Anchoa mitchilli","Anchovy",NA,2.5,0.06,NA,"10/4/23","Seine",-17.24,14.04,NA,NA,NA,NA,3.4,NA,12,4,"PelagicFish",72,808,2827,0.285815351963212,4.14583333333333,0.5,3.39229011535645,9.94,10.13782,0.920927152317881,12.4326442146658
"10","AS10-2-2-S","Anchoa mitchilli","Anchovy",2.4,2.6,0.06,NA,"7/26/23","Seine",-18,14.94,NA,NA,NA,NA,3.4,NA,2,2,"PelagicFish",72,808,2827,0.285815351963212,4.14583333333333,0.5,3.39229011535645,9.94,10.13782,0.920927152317881,12.4326442146658
"11","AS10-5-1-S","Anchoa mitchilli","Anchovy",2.7,3,0.13,NA,"8/17/23","Seine",-18.42,14.79,NA,NA,NA,NA,3.23895224,NA,5,1,"PelagicFish",72,808,2827,0.285815351963212,4.14583333333333,0.5,3.39229011535645,9.94,10.13782,0.920927152317881,12.4326442146658
"12","AS2-12-1-S","Anchoa mitchilli","Anchovy",3.7,4,0.29,NA,"10/4/23","Seine",-17.61,15.9,NA,NA,NA,NA,3.3,NA,12,1,"PelagicFish",72,808,2827,0.285815351963212,4.14583333333333,0.5,3.39229011535645,9.94,10.13782,0.920927152317881,12.4326442146658
"13","AS2-12-2-S","Anchoa mitchilli","Anchovy",7.1,7.6,2.48,NA,"10/4/23","Seine",-18.29,13.6,NA,NA,NA,NA,3.1,NA,12,2,"PelagicFish",72,808,2827,0.285815351963212,4.14583333333333,0.5,3.39229011535645,9.94,10.13782,0.920927152317881,12.4326442146658
"14","AS2-12-3-S","Anchoa mitchilli","Anchovy",5.3,6,1.27,NA,"10/4/23","Seine",-19.05,14.36,NA,NA,NA,NA,3.3,NA,12,3,"PelagicFish",72,808,2827,0.285815351963212,4.14583333333333,0.5,3.39229011535645,9.94,10.13782,0.920927152317881,12.4326442146658
"15","AS2-12-4-S","Anchoa mitchilli","Anchovy",3,3.3,0.19,NA,"10/4/23","Seine",-17.25,16.01,NA,NA,NA,NA,3.4,NA,12,4,"PelagicFish",72,808,2827,0.285815351963212,4.14583333333333,0.5,3.39229011535645,9.94,10.13782,0.920927152317881,12.4326442146658
