"","Species","TL_cm_mean"
"1","Anchoa mitchilli",4.14583333333333
"2","Anguilla rostrata",28.5
"3","Bairdiella chrysoura",5.005
"4","Busycon carica",21.8
"5","Callinectes sapidus",7.90588235294118
"6","Centropristis striata",5.05925925925926
"7","Crassostrea virginica",4.35217391304348
"8","Cynoscion regalis",5.95
"9","Cyprinodon variegatus",2.9
"10","Etropus microstomus",4.26
"11","Fundulus heteroclitus",7.128
"12","Fundulus majalis",6.82777777777778
"13","Gobiesox strumosus",1.5
"14","Gobiosoma bosc",1.89285714285714
"15","Hypsoblennius hentz",7.4
"16","Ilyanassa obsoleta",1.46428571428571
"17","Leiostomus xanthurus",9.82
"18","Lutjanus griseus",3.94
"19","Menidia menidia",6.51752577319588
"20","Micropogonias undulatus",2.4
"21","Mugil curema",14.7
"22","Opsanus tau",4.9
"23","Orthopristis chrysoptera",5.48636363636364
"24","Pagurus sp.",1.96842105263158
"25","Palaemon vulgaris",2.53
"26","Panopeus herbstii",1.1125
"27","Paralichthys dentatus",18.8
"28","Phyto",4.35217391304348
"29","Pogonias cromis",14.1
"30","Pomatomus saltatrix",8.1
"31","Symphurus plagiusa",11.3
"32","Syngnathus fuscus",12.59
"33","Tautoga onitis",6.7
"34","Tautogolabrus adspersus",2.1
"35","Zoop",4.14583333333333
