"","IndivID","Species","CommonName","FL_cm","TL_cm","Weight_g","Sex","Date","FishingType","d13C","d15N","d34S","d34S_SD","WT.S","WT.S_SD","CN","Notes","Week","Rack"
"1","O1-14-1","Crassostrea virginica","Eastern Oyster",NA,4.2,8.64,NA,"10/16/23","Hand",-18.98,10.7,NA,NA,NA,NA,3.4244388,"pulled from oystter aquaculture setup at end of season","14","1"
"2","O1-14-1","Crassostrea virginica","Eastern Oyster",NA,4.2,8.64,NA,"10/16/23","Hand",-20.42,10.19,NA,NA,NA,NA,4.378495018,"pulled from oystter aquaculture setup at end of season","14","1"
"3","O1-14-1","Crassostrea virginica","Eastern Oyster",NA,4.2,8.64,NA,"10/16/23","Hand",-20.4,10.38,NA,NA,NA,NA,4.259481839,"pulled from oystter aquaculture setup at end of season","14","1"
"4","O2-14-1","Crassostrea virginica","Eastern Oyster",NA,3.5,NA,NA,"10/16/23","Hand",-19.05,10.44,NA,NA,NA,NA,3.539355707,"pulled from oystter aquaculture setup at end of season","14","1"
"5","O2-14-1","Crassostrea virginica","Eastern Oyster",NA,3.5,NA,NA,"10/16/23","Hand",-20.41,10.84,NA,NA,NA,NA,4.253825531,"pulled from oystter aquaculture setup at end of season","14","1"
"6","O2-14-1","Crassostrea virginica","Eastern Oyster",NA,3.5,NA,NA,"10/16/23","Hand",-19.9,10.48,NA,NA,NA,NA,3.889178814,"pulled from oystter aquaculture setup at end of season","14","1"
"7","O1-14-2","Crassostrea virginica","Eastern Oyster",NA,4.4,8.97,NA,"10/16/23","Hand",-19.74,11.02,NA,NA,NA,NA,3.568330728,"pulled from oystter aquaculture setup at end of season","14","2"
"8","O1-14-2","Crassostrea virginica","Eastern Oyster",NA,4.4,8.97,NA,"10/16/23","Hand",-22.03,10.04,NA,NA,NA,NA,5.251756097,"pulled from oystter aquaculture setup at end of season","14","2"
"9","O1-14-2","Crassostrea virginica","Eastern Oyster",NA,4.4,8.97,NA,"10/16/23","Hand",-20.54,11.06,NA,NA,NA,NA,3.953471301,"pulled from oystter aquaculture setup at end of season","14","2"
"10","O2-14-2","Crassostrea virginica","Eastern Oyster",NA,4.6,10.98,NA,"10/16/23","Hand",-19.44,10.05,NA,NA,NA,NA,3.425830249,"pulled from oystter aquaculture setup at end of season","14","2"
"11","O2-14-2","Crassostrea virginica","Eastern Oyster",NA,4.6,10.98,NA,"10/16/23","Hand",-19.84,9.69,NA,NA,NA,NA,4.122569826,"pulled from oystter aquaculture setup at end of season","14","2"
"12","O1-14-3","Crassostrea virginica","Eastern Oyster",NA,4.9,13.85,NA,"10/16/23","Hand",-18.84,10.35,NA,NA,NA,NA,3.535608532,"pulled from oystter aquaculture setup at end of season","14","3"
"13","O1-14-3","Crassostrea virginica","Eastern Oyster",NA,4.9,13.85,NA,"10/16/23","Hand",-21.13,10.03,NA,NA,NA,NA,6.007426166,"pulled from oystter aquaculture setup at end of season","14","3"
"14","O1-14-3","Crassostrea virginica","Eastern Oyster",NA,4.9,13.85,NA,"10/16/23","Hand",-19.88,10.27,NA,NA,NA,NA,4.095138673,"pulled from oystter aquaculture setup at end of season","14","3"
"15","O2-14-3","Crassostrea virginica","Eastern Oyster",NA,4.7,11.97,NA,"10/16/23","Hand",-19.28,10.35,NA,NA,NA,NA,3.535247094,"pulled from oystter aquaculture setup at end of season","14","3"
"16","O2-14-3","Crassostrea virginica","Eastern Oyster",NA,4.7,11.97,NA,"10/16/23","Hand",-20.45,9.96,NA,NA,NA,NA,4.439279702,"pulled from oystter aquaculture setup at end of season","14","3"
"17","O2-14-3","Crassostrea virginica","Eastern Oyster",NA,4.7,11.97,NA,"10/16/23","Hand",-20.39,10.04,NA,NA,NA,NA,4.195699909,"pulled from oystter aquaculture setup at end of season","14","3"
"18","O3-14-3","Crassostrea virginica","Eastern Oyster",NA,4,7.61,NA,"10/16/23","Hand",-18.96,10.46,NA,NA,NA,NA,3.399105448,"pulled from oystter aquaculture setup at end of season","14","3"
"19","O3-14-3","Crassostrea virginica","Eastern Oyster",NA,4,7.61,NA,"10/16/23","Hand",-20.17,10.47,NA,NA,NA,NA,4.186438428,"pulled from oystter aquaculture setup at end of season","14","3"
"20","O3-14-3","Crassostrea virginica","Eastern Oyster",NA,4,7.61,NA,"10/16/23","Hand",-20.41,10.26,NA,NA,NA,NA,4.299414667,"pulled from oystter aquaculture setup at end of season","14","3"
