SampleID,Species,CommonName,Week,Date,Length_mm,ForkLength(mm),Weight_g,Reef,Trap,TotalCount,TotalMass(g),d15N,d13C,Note
,Bidyanus bidyanus,Silver Perch,1,7/18/23,34,,1,1,3.5,,,,,
,Centropristis striata,Black Sea Bass,1,7/18/23,99,,12,1,14,,,,,
,Palaemon volgaris,Grass Shrimp,1,7/18/23,37,,1,2,3.5,,,,,
,Anguilla rostrata,American Eel,1,7/18/23,260,,32,2,14,,,,,
,Pagurus sp.,Hermit Crab,1,7/18/23,5,,,2,14,,,,,
,Palaemon volgaris,Grass Shrimp,1,7/18/23,60,,,3,0,,,,,
,Palaemon volgaris,Grass Shrimp,1,7/18/23,40,,,3,0,,,,,
,Anguilla rostrata,American Eel,1,7/18/23,320,,50,3,3.5,,,,,
,Pagurus sp.,Hermit Crab,1,7/18/23,8,,,3,3.5,,,,,
,Palaemon volgaris,Grass Shrimp,1,7/18/23,37,,,3,7,,,,,
,Palaemon volgaris,Grass Shrimp,1,7/18/23,33,,,3,7,,,,,
,Palaemon volgaris,Grass Shrimp,1,7/18/23,41,,,3,7,,,,,
,Pagurus sp.,Hermit Crab,1,7/18/23,5,,,3,14,,,,,
,Anguilla rostrata,American Eel,1,7/18/23,370,,79,4,3.5,,,,,
,Pagurus sp.,Hermit Crab,1,7/18/23,4,,,4,7,,,,,
,Pagurus sp.,Hermit Crab,1,7/18/23,5,,,4,7,,,,,
,Bidyanus bidyanus,Silver Perch,1,7/18/23,43,,1,4,7,,,,,
,Palaemon volgaris,Grass Shrimp,1,7/18/23,39,,,4,14,,,,,
,Palaemon volgaris,Grass Shrimp,1,7/18/23,40,,,4,14,,,,,
,Palaemon volgaris,Grass Shrimp,1,7/18/23,35,,,4,14,,,,,
,Pagurus sp.,Hermit Crab,1,7/18/23,4,,,4,14,,,,,
,Gobiosoma bosc,Naked Goby,2,7/24/23,24,,<1,2,Bag,,,,,During oyster sampling
,Gobiosoma bosc,Naked Goby,2,7/24/23,26,,<1,2,Bag,,,,,During oyster sampling
,,Mud Crab,2,7/24/23,9,,<1,2,Bag,,,,,During oyster sampling
,,Mud Crab,2,7/24/23,8,,<1,3,Bag,,,,,During oyster sampling
,Bidyanus bidyanus,Silver Perch,2,7/25/23,34,,1,1,0,,,,,
,Bidyanus bidyanus,Silver Perch,2,7/25/23,33,,1,1,7,,,,,
,,Mud Crab,2,7/25/23,18,,1,2,0,,,,,
,Palaemon volgaris,Grass Shrimp,2,7/25/23,32,,1,2,0,,,,,
,Anguilla rostrata,American Eel,2,7/25/23,280,,35,2,3.5,,,,,
,Conger oceanicus,Conger Eel,2,7/25/23,341,,60,2,3.5,,,,,
,Palaemon volgaris,Grass Shrimp,2,7/25/23,31,,1,2,14,,,,,
,Bidyanus bidyanus,Silver Perch,2,7/25/23,53,,2,3,0,,,,,
,Palaemon volgaris,Grass Shrimp,2,7/25/23,31,,1,3,0,,,,,Eggs
,Anguilla rostrata,American Eel,2,7/25/23,241,,21,3,0,,,,,
,Anguilla rostrata,American Eel,2,7/25/23,273,,32,3,3.5,,,,,
,Pagurus sp.,Hermit Crab,2,7/25/23,15,,1,3,3.5,,,,,
,Bidyanus bidyanus,Silver Perch,2,7/25/23,33,,1,3,7,,,,,
,Palaemon volgaris,Grass Shrimp,2,7/25/23,33,,1,3,7,,,,,
,Bidyanus bidyanus,Silver Perch,2,7/25/23,43,,1,3,14,,,,,
,Palaemon volgaris,Grass Shrimp,2,7/25/23,24,,<1,3,14,,,,,
,Pagurus sp.,Hermit Crab,2,7/25/23,16,,1,4,0,,,,,
,Pagurus sp.,Hermit Crab,2,7/25/23,10,,<1,4,0,,,,,
,Bidyanus bidyanus,Silver Perch,2,7/25/23,39,,1,4,0,,,,,
,Bidyanus bidyanus,Silver Perch,2,7/25/23,41,,1,4,3.5,,,,,
,Bidyanus bidyanus,Silver Perch,2,7/25/23,35,,1,4,3.5,,,,,
,Gobiosoma bosc,Naked Goby,3,7/31/23,25,,<1,1,Bag,,,,,
,Gobiosoma bosc,Naked Goby,3,7/31/23,29,,<1,1,Bag,,,,,
,Gobiosoma bosc,Naked Goby,3,7/31/23,26,,<1,1,Bag,,,,,
,Gobiosoma bosc,Naked Goby,3,7/31/23,28,,<1,1,Bag,,,,,
,,Mud Crab,3,7/31/23,10,,1,1,Bag,,,,,
,,Mud Crab,3,7/31/23,6,,<1,2,Bag,,,,,
,,Mud Crab,3,7/31/23,13,,2,2,Bag,,,,,
